Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
0,43269,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43839
0,41337,Суточный Г Кр ХФ,Физическое лицо,Единый договор,43839
0,42595,EIPTV ТВ Суточный (ХМФ),Физическое лицо,ШПД Коммерческий,43839
0,43246,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43839
3,43751,ДР 1.1гр 120 Кр ХФ,Физическое лицо,Единый договор,43839
0,43751,EIPTV Для развлечений (ХМФ)К,Физическое лицо,Единый договор,43839
3,42724,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,ШПД Коммерческий,43839
0,43647,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,Единый договор,43839
1,41312,ДР 1.1гр 120 Кр ХФ,Физическое лицо,Единый договор,43839
0,43416,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43839
3,43139,УД Домовой 2016 в пак 120 К ХФ,Физическое лицо,Единый договор,43839
3,41280,БИ 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43839
4,42801,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43839
6,43199,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43839
0,43269,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43839
0,39255,УД Суточный 30 Мб/с ХФ,Физическое лицо,ШПД Коммерческий,43839
0,42639,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43838
0,40872,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43830
0,40872,MVNO+БИ 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43830
0,43416,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43839
0,43649,WG new 1гр 500 Кр ХФ,Физическое лицо,Единый договор,43840
